dept_code;dept_name;muni_code;muni_name;muni_name;poblacion_2025;CEN/POP;VOTE DIF;AVEWIN;LANDSLIDE;area_km2;Pop/km2;mesas_total;censo_mujeres;censo_hombres;puestos;Personas/puesto;mesas_censo;mesas_escrutadas;Personas/mesa;DIF-MESAS;Elect/poblacion;censo_electoral;votantes;% votantes;votos_validos;votos_nulos;votos_blancos;cepeda;espriella;% blanco;% nulos;%cepeda;%espriella;SUM;DIF
27;SANTANDER;67;CHIMA;CHIMA;2.941;88,20 %;1.248;TRUE;TRUE;152;19;8;1.183;1.411;2;1.297;8;8;324;0;88,20 %;2.594;1.786;68,85 %;1.779;5;23;254;1.502;1,29 %;0,28 %;14,22 %;84,10 %;99,89 %;-2
7;BOYACA;173;OICATA;OICATA;2.948;97,35 %;295;TRUE;FALSE;59;50;9;1.436;1.434;1;2.870;9;9;319;0;97,35 %;2.870;2.161;75,30 %;2.133;26;36;901;1.196;1,67 %;1,20 %;41,69 %;55,34 %;99,91 %;-2
27;SANTANDER;64;CHARTA;CHARTA;2.963;117,08 %;1.895;TRUE;TRUE;152;19;12;1.647;1.822;6;578;12;12;289;0;117,08 %;3.469;2.606;75,12 %;2.598;5;25;339;2.234;0,96 %;0,19 %;13,01 %;85,73 %;99,88 %;-3
27;SANTANDER;85;GALAN;GALAN;2.966;89,89 %;1.451;TRUE;TRUE;205;14;14;1.268;1.398;10;267;14;14;190;0;89,89 %;2.666;1.901;71,31 %;1.897;4;10;218;1.669;0,53 %;0,21 %;11,47 %;87,80 %;100,00 %;0
25;NORTE DE SAN;16;CACOTA;CACOTA;2.983;90,08 %;1.299;TRUE;TRUE;139;21;9;1.260;1.427;2;1.344;9;9;299;0;90,08 %;2.687;1.791;66,65 %;1.772;17;23;225;1.524;1,28 %;0,95 %;12,56 %;85,09 %;99,89 %;-2
60;AMAZONAS;13;LA CHORRERA;LA CHORRERA;3.032;37,34 %;-584;FALSE;FALSE;12.517;0;4;515;617;1;1.132;4;4;283;0;37,34 %;1.132;666;58,83 %;665;1;1;624;40;0,15 %;0,15 %;93,69 %;6,01 %;100,00 %;0
27;SANTANDER;178;SAN BENITO;SAN BENITO;3.049;97,02 %;1.085;TRUE;TRUE;67;46;9;1.335;1.623;2;1.479;9;9;329;0;97,02 %;2.958;1.605;54,26 %;1.601;3;8;254;1.339;0,50 %;0,19 %;15,83 %;83,43 %;99,94 %;-1
15;CUNDINAMARCA;121;GUATAQUI;GUATAQUI;3.057;90,22 %;324;TRUE;FALSE;87;35;8;1.290;1.468;1;2.758;8;8;345;0;90,22 %;2.758;1.617;58,63 %;1.610;6;10;638;962;0,62 %;0,37 %;39,46 %;59,49 %;99,94 %;-1
7;BOYACA;248;SAN MIGUEL DE SEMA;SAN MIGUEL DE SEMA;3.070;93,84 %;981;TRUE;TRUE;90;34;9;1.381;1.500;1;2.881;9;9;320;0;93,84 %;2.881;2.061;71,54 %;2.044;15;29;517;1.498;1,41 %;0,73 %;25,08 %;72,68 %;99,90 %;-2
7;BOYACA;85;EL ESPINO;EL ESPINO;3.114;70,13 %;1.062;TRUE;TRUE;70;44;8;1.071;1.113;2;1.092;8;8;273;0;70,13 %;2.184;1.480;67,77 %;1.471;8;17;196;1.258;1,15 %;0,54 %;13,24 %;85,00 %;99,93 %;-1
7;BOYACA;40;CAMPOHERMOSO;CAMPOHERMOSO;3.121;76,35 %;1.086;TRUE;TRUE;302;10;9;1.085;1.298;3;794;9;9;265;0;76,35 %;2.383;1.620;67,98 %;1.615;4;23;253;1.339;1,42 %;0,25 %;15,62 %;82,65 %;99,94 %;-1
7;BOYACA;281;SORA;SORA;3.138;94,58 %;555;TRUE;FALSE;47;67;9;1.461;1.507;1;2.968;9;9;330;0;94,58 %;2.968;2.217;74,70 %;2.190;23;41;797;1.352;1,85 %;1,04 %;35,95 %;60,98 %;99,82 %;-4
7;BOYACA;37;CALDAS;CALDAS;3.188;100,97 %;1.039;TRUE;TRUE;111;29;12;1.590;1.629;4;805;12;12;268;0;100,97 %;3.219;2.246;69,77 %;2.222;18;35;574;1.613;1,56 %;0,80 %;25,56 %;71,82 %;99,73 %;-6
7;BOYACA;247;SAN MATEO;SAN MATEO;3.193;110,37 %;1.601;TRUE;TRUE;131;24;11;1.666;1.858;2;1.762;11;11;320;0;110,37 %;3.524;2.198;62,37 %;2.188;7;27;280;1.881;1,23 %;0,32 %;12,74 %;85,58 %;99,86 %;-3
26;QUINDIO;5;BUENAVISTA;BUENAVISTA;3.253;82,32 %;455;TRUE;FALSE;144;23;8;1.237;1.441;2;1.339;8;8;335;0;82,32 %;2.678;1.694;63,26 %;1.676;16;29;596;1.051;1,71 %;0,94 %;35,18 %;62,04 %;99,88 %;-2
